name;latitude;longitude;date;obsvalue;validity;codevalidation;obs_withbackground;x_simu;y_simu;sea_coverage;terrain_std;Observed gamma dose rate (nSv/h);Potential maximum gamma dose rate (nSv/h);Simulated gamma dose rate (nSv/h);Min simulated 3x3 cells around (nSv/h);Max simulated 3x3 cells around (nSv/h);date_sim;Date (j/m/a hh:mm);Precipitations (mm/h);Pressure (Pa);Temperature (K);Kz (m2/s);Meridional wind (m/s);Zonal wind (m/s);Cloud Base (m);Cloud Top (m)
SIERENTZ_68_AGG_CP;47.649330139160156;7.459904193878174;2023-01-01 00:00:00;1.0983327229817803;True;' ' ' ' ' ' ' ' ' ' ' ';83.92999903361003;185;126;0.0;36.99449381443;1.0983327229817803;;0.5945445895195007;;;2023-01-01 00:00:00;2023-01-01 00:00:00;0.0;98647.15625;284.765869140625;5.343140125274658;-0.01027000043541193;0.8707043528556824;500.0;5000.0
SIERENTZ_68_AGG_CP;47.649330139160156;7.459904193878174;2023-01-01 01:00:00;1.188332875569671;True;' ' ' ' ' ' ' ' ' ' ' ';84.01999918619792;185;126;0.0;36.99449381443;1.188332875569671;;0.5821295380592346;;;2023-01-01 01:00:00;2023-01-01 01:00:00;0.0;98667.90625;284.8936767578125;5.318484783172607;1.0693286657333374;0.9091627597808838;500.0;5000.0
SIERENTZ_68_AGG_CP;47.649330139160156;7.459904193878174;2023-01-01 02:00:00;1.6800003051757812;True;' ' ' ' ' ' ' ' ' ' ' ';84.51166661580403;185;126;0.0;36.99449381443;1.6800003051757812;;0.46552136540412903;;;2023-01-01 02:00:00;2023-01-01 02:00:00;0.0;98721.9609375;284.7757873535156;2.7411723136901855;-0.16899414360523224;1.5323913097381592;500.0;5000.0
SIERENTZ_68_AGG_CP;47.649330139160156;7.459904193878174;2023-01-01 03:00:00;0.0;True;' ' ' ' ' ' ' ' ' ' ' ';82.83166631062825;185;126;0.0;36.99449381443;0.0;;0.4143742024898529;;;2023-01-01 03:00:00;2023-01-01 03:00:00;0.0;98729.8828125;283.6530456542969;2.971439838409424;0.8356623649597168;0.24402499198913574;500.0;5000.0
SIERENTZ_68_AGG_CP;47.649330139160156;7.459904193878174;2023-01-01 04:00:00;0.23333358764648438;True;' ' ' ' ' ' ' ' ' ' ' ';83.06499989827473;185;126;0.0;36.99449381443;0.23333358764648438;;0.418093204498291;;;2023-01-01 04:00:00;2023-01-01 04:00:00;0.0;98712.5390625;283.5953369140625;3.7157249450683594;2.315190315246582;0.626680850982666;500.0;5000.0
SIERENTZ_68_AGG_CP;47.649330139160156;7.459904193878174;2023-01-01 05:00:00;2.5999997456868584;True;' ' ' ' ' ' ' ' ' ' ' ';85.43166605631511;185;126;0.0;36.99449381443;2.5999997456868584;;0.38757088780403137;;;2023-01-01 05:00:00;2023-01-01 05:00:00;0.0;98725.5703125;283.85638427734375;2.100135087966919;1.8368688821792603;0.5744624137878418;500.0;5000.0
SIERENTZ_68_AGG_CP;47.649330139160156;7.459904193878174;2023-01-01 06:00:00;2.1383349100748745;True;' ' ' ' ' ' ' ' ' ' ' ';84.97000122070312;185;126;0.0;36.99449381443;2.1383349100748745;;0.35875922441482544;;;2023-01-01 06:00:00;2023-01-01 06:00:00;0.0;98752.796875;282.4128723144531;1.9475836753845215;1.158194899559021;-1.0168713331222534;500.0;5000.0
SIERENTZ_68_AGG_CP;47.649330139160156;7.459904193878174;2023-01-01 07:00:00;1.2733332316080777;True;' ' ' ' ' ' ' ' ' ' ' ';84.10499954223633;185;126;0.0;36.99449381443;1.2733332316080777;;0.42739683389663696;;;2023-01-01 07:00:00;2023-01-01 07:00:00;0.0;98776.4140625;283.2447814941406;4.533809661865234;0.6609630584716797;0.2629724144935608;500.0;5000.0
SIERENTZ_68_AGG_CP;47.649330139160156;7.459904193878174;2023-01-01 08:00:00;1.8183339436849053;True;' ' ' ' ' ' ' ' ' ' ' ';84.65000025431316;185;126;0.0;36.99449381443;1.8183339436849053;;0.47634878754615784;;;2023-01-01 08:00:00;2023-01-01 08:00:00;0.0;98787.8984375;283.472900390625;2.37113356590271;1.5850683450698853;-0.9211981296539307;500.0;5000.0
SIERENTZ_68_AGG_CP;47.649330139160156;7.459904193878174;2023-01-01 09:00:00;2.0416666666666714;True;' ' ' ' ' ' ' ' ' ' ' ';84.87333297729492;185;126;0.0;36.99449381443;2.0416666666666714;;0.5025105476379395;;;2023-01-01 09:00:00;2023-01-01 09:00:00;0.0;98780.8203125;283.0046691894531;2.0938565731048584;1.2123345136642456;-0.6579899787902832;500.0;5000.0
