name;latitude;longitude;date;obsvalue;validity;codevalidation;obs_withbackground;x_simu;y_simu;sea_coverage;terrain_std;Observed gamma dose rate (nSv/h);Potential maximum gamma dose rate (nSv/h);Simulated gamma dose rate (nSv/h);Min simulated 3x3 cells around (nSv/h);Max simulated 3x3 cells around (nSv/h);date_sim;Date (j/m/a hh:mm);Precipitations (mm/h);Pressure (Pa);Temperature (K);Kz (m2/s);Meridional wind (m/s);Zonal wind (m/s);Cloud Base (m);Cloud Top (m)
ST-MARTIN-EN-CAMPAGNE_76_SIT_CP;49.968021392822266;1.215109944343567;2023-01-01 00:00:00;1.6966667175292969;True;' ' ' ' ' ' ' ' ' ' ' ';62.51666704813639;122;150;0.0;44.77206009269;1.6966667175292969;;0.304516464471817;;;2023-01-01 00:00:00;2023-01-01 00:00:00;0.0;100549.28125;286.3113098144531;4.856995582580566;10.54716968536377;6.133161544799805;2500.0;6311.3315
ST-MARTIN-EN-CAMPAGNE_76_SIT_CP;49.968021392822266;1.215109944343567;2023-01-01 01:00:00;1.8666648864746094;True;' ' ' ' ' ' ' ' ' ' ' ';62.6866652170817;122;150;0.0;44.77206009269;1.8666648864746094;;0.27586039900779724;;;2023-01-01 01:00:00;2023-01-01 01:00:00;0.0;100557.2421875;287.5049133300781;5.052363395690918;10.43932819366455;8.438905715942383;500.0;5000.0
ST-MARTIN-EN-CAMPAGNE_76_SIT_CP;49.968021392822266;1.215109944343567;2023-01-01 02:00:00;1.9783337910970076;True;' ' ' ' ' ' ' ' ' ' ' ';62.7983341217041;122;150;0.0;44.77206009269;1.9783337910970076;;0.21676461398601532;;;2023-01-01 02:00:00;2023-01-01 02:00:00;0.0;100642.5546875;287.0317687988281;3.680803060531616;9.0960054397583;7.430829048156738;500.0;5000.0
ST-MARTIN-EN-CAMPAGNE_76_SIT_CP;49.968021392822266;1.215109944343567;2023-01-01 03:00:00;1.6533323923746792;True;' ' ' ' ' ' ' ' ' ' ' ';62.47333272298177;122;150;0.0;44.77206009269;1.6533323923746792;;0.1790509670972824;;;2023-01-01 03:00:00;2023-01-01 03:00:00;0.0;100709.453125;286.7616882324219;3.4336349964141846;8.75710391998291;7.368048667907715;500.0;5000.0
ST-MARTIN-EN-CAMPAGNE_76_SIT_CP;49.968021392822266;1.215109944343567;2023-01-01 04:00:00;2.0733324686686245;True;' ' ' ' ' ' ' ' ' ' ' ';62.89333279927572;122;150;0.0;44.77206009269;2.0733324686686245;;0.21563269197940826;;;2023-01-01 04:00:00;2023-01-01 04:00:00;0.0;100749.6640625;286.41973876953125;3.5194602012634277;8.798892974853516;6.544649600982666;500.0;5000.0
ST-MARTIN-EN-CAMPAGNE_76_SIT_CP;49.968021392822266;1.215109944343567;2023-01-01 05:00:00;1.8133328755696638;True;' ' ' ' ' ' ' ' ' ' ' ';62.63333320617676;122;150;0.0;44.77206009269;1.8133328755696638;;0.20501182973384857;;;2023-01-01 05:00:00;2023-01-01 05:00:00;0.0;100811.7265625;286.1123352050781;4.2269062995910645;8.559268951416016;5.799071788787842;500.0;5000.0
ST-MARTIN-EN-CAMPAGNE_76_SIT_CP;49.968021392822266;1.215109944343567;2023-01-01 06:00:00;0.36499977111816406;True;' ' ' ' ' ' ' ' ' ' ' ';61.18500010172526;122;150;0.0;44.77206009269;0.36499977111816406;;0.1657768189907074;;;2023-01-01 06:00:00;2023-01-01 06:00:00;0.0;100854.578125;285.91229248046875;3.331815242767334;8.518973350524902;5.018128871917725;500.0;5000.0
ST-MARTIN-EN-CAMPAGNE_76_SIT_CP;49.968021392822266;1.215109944343567;2023-01-01 07:00:00;2.6416657765706404;True;' ' ' ' ' ' ' ' ' ' ' ';63.461666107177734;122;150;0.0;44.77206009269;2.6416657765706404;;0.1578514575958252;;;2023-01-01 07:00:00;2023-01-01 07:00:00;0.0;100894.5390625;285.8382568359375;3.1196348667144775;8.43928337097168;5.162972450256348;500.0;5000.0
ST-MARTIN-EN-CAMPAGNE_76_SIT_CP;49.968021392822266;1.215109944343567;2023-01-01 08:00:00;0.0;True;' ' ' ' ' ' ' ' ' ' ' ';60.820000330607094;122;150;0.0;44.77206009269;0.0;;0.16256427764892578;;;2023-01-01 08:00:00;2023-01-01 08:00:00;0.0;100955.046875;285.4801940917969;3.5702738761901855;8.590068817138672;4.557317733764648;500.0;5000.0
ST-MARTIN-EN-CAMPAGNE_76_SIT_CP;49.968021392822266;1.215109944343567;2023-01-01 09:00:00;1.303332646687828;True;' ' ' ' ' ' ' ' ' ' ' ';62.12333297729492;122;150;0.0;44.77206009269;1.303332646687828;;0.17243394255638123;;;2023-01-01 09:00:00;2023-01-01 09:00:00;0.0;100999.140625;285.22509765625;2.904602289199829;7.795957088470459;4.361541271209717;500.0;5000.0
