name;latitude;longitude;date;obsvalue;validity;codevalidation;obs_withbackground;x_simu;y_simu;sea_coverage;terrain_std;altitude;nature;obstacle;position;metropole;Observed gamma dose rate (nSv/h);Potential maximum gamma dose rate (nSv/h);Simulated gamma dose rate (nSv/h);Min simulated 3x3 cells around (nSv/h);Max simulated 3x3 cells around (nSv/h);date_sim;ddd_sim_3x3;Date (j/m/a hh:mm);Precipitations (mm/h);Pressure (Pa);Temperature (K);Kz (m2/s);Meridional wind (m/s);Zonal wind (m/s);Cloud Base (m);Cloud Top (m)
VERNANTES_49_AGG_CP;47.39445877075195;0.045476000756025314;2025-06-01 00:00:00;3.338331858317062;True;' ' ' ' ' ' ' ' ' ' ' ';81.36666488647461;110;124;0.0;20.216252706;61;beton et herbe;False;Sur un mat;True;3.338331858317062;;0.9512503089913193;;;2025-06-01 00:00:00;;2025-06-01 00:00:00;0.0;100851.2265625;294.8990783691406;12.746755599975586;-0.5697753429412842;1.8893924951553345;750.0;1000.0
VERNANTES_49_AGG_CP;47.39445877075195;0.045476000756025314;2025-06-01 01:00:00;3.3000005086262973;True;' ' ' ' ' ' ' ' ' ' ' ';80.92833455403645;110;124;0.0;20.216252706;61;beton et herbe;False;Sur un mat;True;3.3000005086262973;;0.8420836293890344;;;2025-06-01 01:00:00;;2025-06-01 01:00:00;0.0;100838.453125;292.9300231933594;0.5774301290512085;-0.4401015043258667;1.4733407497406006;875.0;1125.0
VERNANTES_49_AGG_CP;47.39445877075195;0.045476000756025314;2025-06-01 02:00:00;4.024998982747391;True;' ' ' ' ' ' ' ' ' ' ' ';81.65333302815755;110;124;0.0;20.216252706;61;beton et herbe;False;Sur un mat;True;4.024998982747391;;0.947843268716414;;;2025-06-01 02:00:00;;2025-06-01 02:00:00;0.0;100836.1875;292.4632568359375;2.914729356765747;0.04242916777729988;1.826198697090149;875.0;1000.0
VERNANTES_49_AGG_CP;47.39445877075195;0.045476000756025314;2025-06-01 03:00:00;4.438331604003906;True;' ' ' ' ' ' ' ' ' ' ' ';81.4383316040039;110;124;0.0;20.216252706;61;beton et herbe;False;Sur un mat;True;4.438331604003906;;1.2218312299416834;;;2025-06-01 03:00:00;;2025-06-01 03:00:00;0.0;100840.7421875;292.06494140625;9.074138641357422;0.14981505274772644;1.7954423427581787;875.0;1000.0
VERNANTES_49_AGG_CP;47.39445877075195;0.045476000756025314;2025-06-01 04:00:00;4.1466662089029995;True;' ' ' ' ' ' ' ' ' ' ' ';81.146666208903;110;124;0.0;20.216252706;61;beton et herbe;False;Sur un mat;True;4.1466662089029995;;1.5095899140102342;;;2025-06-01 04:00:00;;2025-06-01 04:00:00;0.0;100827.2578125;291.7352600097656;3.885315179824829;-0.381480872631073;1.7366666793823242;500.0;5000.0
VERNANTES_49_AGG_CP;47.39445877075195;0.045476000756025314;2025-06-01 05:00:00;5.438334147135421;True;' ' ' ' ' ' ' ' ' ' ' ';82.43833414713542;110;124;0.0;20.216252706;61;beton et herbe;False;Sur un mat;True;5.438334147135421;;1.4660005631314532;;;2025-06-01 05:00:00;;2025-06-01 05:00:00;0.0;100842.8359375;291.43133544921875;2.033731460571289;-0.5436645150184631;1.3883628845214844;875.0;1000.0
VERNANTES_49_AGG_CP;47.39445877075195;0.045476000756025314;2025-06-01 06:00:00;4.221666971842453;True;' ' ' ' ' ' ' ' ' ' ' ';81.22166697184245;110;124;0.0;20.216252706;61;beton et herbe;False;Sur un mat;True;4.221666971842453;;1.1349497513676865;;;2025-06-01 06:00:00;;2025-06-01 06:00:00;0.0;100847.421875;291.38861083984375;3.0120632648468018;-0.5821797251701355;1.0525418519973755;750.0;1250.0
VERNANTES_49_AGG_CP;47.39445877075195;0.045476000756025314;2025-06-01 07:00:00;4.781665802001953;True;' ' ' ' ' ' ' ' ' ' ' ';81.78166580200195;110;124;0.0;20.216252706;61;beton et herbe;False;Sur un mat;True;4.781665802001953;;0.9698432486791864;;;2025-06-01 07:00:00;;2025-06-01 07:00:00;0.0;100868.421875;291.2497253417969;12.2333345413208;-0.22353924810886383;0.9232028722763062;750.0;1000.0
VERNANTES_49_AGG_CP;47.39445877075195;0.045476000756025314;2025-06-01 08:00:00;3.7133331298828125;True;' ' ' ' ' ' ' ' ' ' ' ';80.71333312988281;110;124;0.0;20.216252706;61;beton et herbe;False;Sur un mat;True;3.7133331298828125;;0.8360626644124403;;;2025-06-01 08:00:00;;2025-06-01 08:00:00;0.0;100873.3984375;291.9896240234375;34.462181091308594;-0.550851047039032;1.536703109741211;750.0;1125.0
VERNANTES_49_AGG_CP;47.39445877075195;0.045476000756025314;2025-06-01 09:00:00;4.863333384195968;True;' ' ' ' ' ' ' ' ' ' ' ';81.86333338419597;110;124;0.0;20.216252706;61;beton et herbe;False;Sur un mat;True;4.863333384195968;;0.7217651281331283;;;2025-06-01 09:00:00;;2025-06-01 09:00:00;0.0;100863.1875;292.83514404296875;55.36772918701172;-0.46320587396621704;1.6065998077392578;500.0;5000.0
