name;latitude;longitude;date;obsvalue;validity;codevalidation;obs_withbackground;x_simu;y_simu;sea_coverage;terrain_std;Observed gamma dose rate (nSv/h);Potential maximum gamma dose rate (nSv/h);Simulated gamma dose rate (nSv/h);Min simulated 3x3 cells around (nSv/h);Max simulated 3x3 cells around (nSv/h);date_sim;Date (j/m/a hh:mm);Precipitations (mm/h);Pressure (Pa);Temperature (K);Kz (m2/s);Meridional wind (m/s);Zonal wind (m/s);Cloud Base (m);Cloud Top (m)
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 00:00:00;2.0099995930989536;True;' ' ' ' ' ' ' ' ' ' ' ';75.1966667175293;159;94;0.0;33.16166205037;2.0099995930989536;;0.3769616484642029;;;2023-01-01 00:00:00;2023-01-01 00:00:00;0.0;100326.8828125;284.1441345214844;1.9021412134170532;-1.1213099956512451;-0.3905090093612671;2000.0;2250.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 01:00:00;2.216665903727204;True;' ' ' ' ' ' ' ' ' ' ' ';75.40333302815755;159;94;0.0;33.16166205037;2.216665903727204;;0.3691157400608063;;;2023-01-01 01:00:00;2023-01-01 01:00:00;0.0;100334.84375;284.1831359863281;1.3063656091690063;-0.20067138969898224;-1.1583733558654785;500.0;5000.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 02:00:00;3.2099990844726562;True;' ' ' ' ' ' ' ' ' ' ' ';76.396666208903;159;94;0.0;33.16166205037;3.2099990844726562;;0.3610135614871979;;;2023-01-01 02:00:00;2023-01-01 02:00:00;0.0;100333.46875;283.94091796875;2.551771640777588;-0.5739941596984863;-0.21565556526184082;500.0;5000.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 03:00:00;2.661665598551423;True;' ' ' ' ' ' ' ' ' ' ' ';75.84833272298177;159;94;0.0;33.16166205037;2.661665598551423;;0.3584313690662384;;;2023-01-01 03:00:00;2023-01-01 03:00:00;0.0;100301.6015625;283.1911926269531;3.6397976875305176;-1.6234816312789917;0.6492984294891357;500.0;5000.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 04:00:00;2.2249984741210938;True;' ' ' ' ' ' ' ' ' ' ' ';75.41166559855144;159;94;0.0;33.16166205037;2.2249984741210938;;0.3624821901321411;;;2023-01-01 04:00:00;2023-01-01 04:00:00;0.0;100294.9140625;283.16900634765625;2.4046359062194824;-1.875901460647583;0.680391788482666;500.0;5000.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 05:00:00;2.8716659545898438;True;' ' ' ' ' ' ' ' ' ' ' ';76.05833307902019;159;94;0.0;33.16166205037;2.8716659545898438;;0.36206090450286865;;;2023-01-01 05:00:00;2023-01-01 05:00:00;0.0;100305.109375;283.41229248046875;1.615460753440857;-1.8601738214492798;0.2619624137878418;500.0;5000.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 06:00:00;2.224999745686844;True;' ' ' ' ' ' ' ' ' ' ' ';75.41166687011719;159;94;0.0;33.16166205037;2.224999745686844;;0.34535789489746094;;;2023-01-01 06:00:00;2023-01-01 06:00:00;0.0;100315.28125;283.7451477050781;1.0574913024902344;-1.717282772064209;-0.37687134742736816;1000.0;1250.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 07:00:00;2.2916653951009067;True;' ' ' ' ' ' ' ' ' ' ' ';75.47833251953125;159;94;0.0;33.16166205037;2.2916653951009067;;0.33854231238365173;;;2023-01-01 07:00:00;2023-01-01 07:00:00;0.0;100325.3984375;283.1914978027344;1.1891566514968872;-1.3214588165283203;0.7379724383354187;500.0;5000.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 08:00:00;3.6383323669433594;True;' ' ' ' ' ' ' ' ' ' ' ';76.8249994913737;159;94;0.0;33.16166205037;3.6383323669433594;;0.3486788868904114;;;2023-01-01 08:00:00;2023-01-01 08:00:00;0.0;100327.640625;282.97552490234375;1.0612748861312866;-1.369931697845459;0.6315362453460693;500.0;5000.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 09:00:00;0.0;True;' ' ' ' ' ' ' ' ' ' ' ';73.18666712443034;159;94;0.0;33.16166205037;0.0;;0.35393956303596497;;;2023-01-01 09:00:00;2023-01-01 09:00:00;0.0;100330.515625;282.9691467285156;0.6547532081604004;-1.219053864479065;0.4504084587097168;1000.0;1125.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 10:00:00;1.6916656494140625;True;' ' ' ' ' ' ' ' ' ' ' ';74.8783327738444;159;94;0.0;33.16166205037;1.6916656494140625;;0.34526392817497253;;;2023-01-01 10:00:00;2023-01-01 10:00:00;0.0;100332.953125;283.76019287109375;0.8159539699554443;-1.0567724704742432;-0.4676175117492676;875.0;1125.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 11:00:00;2.3749987284342353;True;' ' ' ' ' ' ' ' ' ' ' ';75.56166585286458;159;94;0.0;33.16166205037;2.3749987284342353;;0.33319634199142456;;;2023-01-01 11:00:00;2023-01-01 11:00:00;0.0;100298.0;284.4414367675781;1.4362112283706665;-0.37060546875;-0.4235208034515381;750.0;1250.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 12:00:00;4.181666056315095;True;' ' ' ' ' ' ' ' ' ' ' ';77.36833318074544;159;94;0.0;33.16166205037;4.181666056315095;;0.30067938566207886;;;2023-01-01 12:00:00;2023-01-01 12:00:00;0.0;100222.2109375;284.8796081542969;6.7341437339782715;0.166532501578331;0.055299073457717896;750.0;1250.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 13:00:00;2.2783330281575473;True;' ' ' ' ' ' ' ' ' ' ' ';75.46500015258789;159;94;0.0;33.16166205037;2.2783330281575473;;0.270014226436615;;;2023-01-01 13:00:00;2023-01-01 13:00:00;0.0;100177.8359375;286.9253234863281;18.43177032470703;2.1369214057922363;1.0503876209259033;500.0;5000.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 14:00:00;2.036668141682938;True;' ' ' ' ' ' ' ' ' ' ' ';75.22333526611328;159;94;0.0;33.16166205037;2.036668141682938;;0.28951817750930786;;;2023-01-01 14:00:00;2023-01-01 14:00:00;0.0;100150.0625;286.9372863769531;13.555798530578613;1.9871234893798828;1.8802746534347534;500.0;5000.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 15:00:00;1.508333841959626;True;' ' ' ' ' ' ' ' ' ' ' ';74.69500096638997;159;94;0.0;33.16166205037;1.508333841959626;;0.3028283417224884;;;2023-01-01 15:00:00;2023-01-01 15:00:00;0.0;100149.5625;286.87786865234375;2.900543451309204;1.9402364492416382;1.1049718856811523;500.0;5000.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 16:00:00;1.649998982747391;True;' ' ' ' ' ' ' ' ' ' ' ';74.83666610717773;159;94;0.0;33.16166205037;1.649998982747391;;0.33446869254112244;;;2023-01-01 16:00:00;2023-01-01 16:00:00;0.0;100146.46875;286.4750061035156;3.4414384365081787;0.4606189429759979;0.4426499903202057;500.0;5000.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 17:00:00;2.474999745686844;True;' ' ' ' ' ' ' ' ' ' ' ';75.66166687011719;159;94;0.0;33.16166205037;2.474999745686844;;0.3823505938053131;;;2023-01-01 17:00:00;2023-01-01 17:00:00;0.0;100152.2421875;285.7822570800781;1.3749730587005615;-0.8414091467857361;0.22858911752700806;500.0;5000.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 18:00:00;1.3383331298828125;True;' ' ' ' ' ' ' ' ' ' ' ';74.52500025431316;159;94;0.0;33.16166205037;1.3383331298828125;;0.40937209129333496;;;2023-01-01 18:00:00;2023-01-01 18:00:00;0.0;100155.2265625;285.0887451171875;1.4302630424499512;-0.8441907167434692;-0.02467644214630127;500.0;5000.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 19:00:00;3.661665598551423;True;' ' ' ' ' ' ' ' ' ' ' ';76.84833272298177;159;94;0.0;33.16166205037;3.661665598551423;;0.4254080355167389;;;2023-01-01 19:00:00;2023-01-01 19:00:00;0.0;100175.609375;284.3254089355469;1.171691656112671;-0.4027034342288971;1.2496495246887207;500.0;5000.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 20:00:00;1.2866668701171875;True;' ' ' ' ' ' ' ' ' ' ' ';74.47333399454753;159;94;0.0;33.16166205037;1.2866668701171875;;0.4348066747188568;;;2023-01-01 20:00:00;2023-01-01 20:00:00;0.0;100187.5703125;284.06793212890625;1.025856375694275;-0.7293449640274048;1.2700573205947876;500.0;5000.0
GRIGNAN_26_AGG_CP;44.42189025878906;4.906010150909424;2023-01-01 21:00:00;2.5816650390625;True;' ' ' ' ' ' ' ' ' ' ' ';75.76833216349284;159;94;0.0;33.16166205037;2.5816650390625;;0.429265558719635;;;2023-01-01 21:00:00;2023-01-01 21:00:00;0.0;100203.78125;283.84710693359375;1.3359464406967163;-0.8767324090003967;0.6778716444969177;500.0;5000.0
