name;latitude;longitude;date;obsvalue;validity;codevalidation;obs_withbackground;x_simu;y_simu;sea_coverage;terrain_std;Observed gamma dose rate (nSv/h);Potential maximum gamma dose rate (nSv/h);Simulated gamma dose rate (nSv/h);Min simulated 3x3 cells around (nSv/h);Max simulated 3x3 cells around (nSv/h);date_sim;Date (j/m/a hh:mm);Precipitations (mm/h);Pressure (Pa);Temperature (K);Kz (m2/s);Meridional wind (m/s);Zonal wind (m/s);Cloud Base (m);Cloud Top (m)
LAVIT_82_AGG_CP;43.95880126953125;0.9222549796104431;2023-01-01 00:00:00;0.7366663614908902;True;' ' ' ' ' ' ' ' ' ' ' ';97.96333312988281;119;90;0.0;33.02717749734;0.7366663614908902;;0.31431108713150024;;;2023-01-01 00:00:00;2023-01-01 00:00:00;0.0;100229.5390625;284.8369140625;3.509091377258301;6.543330192565918;-4.453925132751465;100.0;200.0
LAVIT_82_AGG_CP;43.95880126953125;0.9222549796104431;2023-01-01 01:00:00;1.8583335876464844;True;' ' ' ' ' ' ' ' ' ' ' ';99.0850003560384;119;90;0.0;33.02717749734;1.8583335876464844;;0.3117597997188568;;;2023-01-01 01:00:00;2023-01-01 01:00:00;0.0;100238.203125;285.2489318847656;4.350265979766846;6.179328441619873;-4.608923435211182;150.0;200.0
LAVIT_82_AGG_CP;43.95880126953125;0.9222549796104431;2023-01-01 02:00:00;0.1866658528645928;True;' ' ' ' ' ' ' ' ' ' ' ';97.41333262125652;119;90;0.0;33.02717749734;0.1866658528645928;;0.31374844908714294;;;2023-01-01 02:00:00;2023-01-01 02:00:00;0.0;100262.4140625;285.32647705078125;4.106098651885986;6.276005744934082;-4.131670951843262;500.0;5000.0
LAVIT_82_AGG_CP;43.95880126953125;0.9222549796104431;2023-01-01 03:00:00;0.801666259765625;True;' ' ' ' ' ' ' ' ' ' ' ';98.02833302815755;119;90;0.0;33.02717749734;0.801666259765625;;0.30861660838127136;;;2023-01-01 03:00:00;2023-01-01 03:00:00;0.0;100252.5703125;285.3761291503906;3.954634428024292;6.486697673797607;-3.7989437580108643;500.0;5000.0
LAVIT_82_AGG_CP;43.95880126953125;0.9222549796104431;2023-01-01 04:00:00;1.0399971008300781;True;' ' ' ' ' ' ' ' ' ' ' ';98.04333114624023;119;90;0.0;33.02717749734;1.0399971008300781;;0.9607827067375183;;;2023-01-01 04:00:00;2023-01-01 04:00:00;0.0;100233.1015625;285.1407775878906;4.494907379150391;6.106602191925049;-4.402616024017334;2750.0;3535.5862
LAVIT_82_AGG_CP;43.95880126953125;0.9222549796104431;2023-01-01 05:00:00;0.9333318074544223;True;' ' ' ' ' ' ' ' ' ' ' ';97.93666585286458;119;90;0.0;33.02717749734;0.9333318074544223;;0.754453718662262;;;2023-01-01 05:00:00;2023-01-01 05:00:00;0.0;100222.6875;285.0820617675781;4.527781963348389;6.266658782958984;-4.796631336212158;2750.0;3534.98
LAVIT_82_AGG_CP;43.95880126953125;0.9222549796104431;2023-01-01 06:00:00;1.2133331298828125;True;' ' ' ' ' ' ' ' ' ' ' ';97.67333221435547;119;90;0.0;33.02717749734;1.2133331298828125;;0.43815749883651733;;;2023-01-01 06:00:00;2023-01-01 06:00:00;0.0;100220.7734375;284.8642578125;5.44944429397583;6.176403045654297;-5.521871566772461;2500.0;3535.006
LAVIT_82_AGG_CP;43.95880126953125;0.9222549796104431;2023-01-01 07:00:00;2.5500005086262973;True;' ' ' ' ' ' ' ' ' ' ' ';99.00999959309895;119;90;0.0;33.02717749734;2.5500005086262973;;0.34881600737571716;;;2023-01-01 07:00:00;2023-01-01 07:00:00;0.0;100203.8984375;285.2520751953125;6.064703941345215;6.46174430847168;-6.032027721405029;2750.0;4160.307
LAVIT_82_AGG_CP;43.95880126953125;0.9222549796104431;2023-01-01 08:00:00;0.8983345031738281;True;' ' ' ' ' ' ' ' ' ' ' ';97.35833358764648;119;90;0.0;33.02717749734;0.8983345031738281;;0.30610743165016174;;;2023-01-01 08:00:00;2023-01-01 08:00:00;0.0;100140.765625;285.0361022949219;6.891079902648926;6.110068321228027;-6.380182266235352;150.0;200.0
LAVIT_82_AGG_CP;43.95880126953125;0.9222549796104431;2023-01-01 09:00:00;1.2100016276041714;True;' ' ' ' ' ' ' ' ' ' ' ';97.67000071207683;119;90;0.0;33.02717749734;1.2100016276041714;;0.2690042555332184;;;2023-01-01 09:00:00;2023-01-01 09:00:00;0.0;100123.0390625;285.4027404785156;11.613971710205078;5.625471115112305;-5.911896228790283;500.0;5000.0
