name;latitude;longitude;date;obsvalue;validity;codevalidation;obs_withbackground;x_simu;y_simu;sea_coverage;terrain_std;altitude;nature;obstacle;position;metropole;Observed gamma dose rate (nSv/h);Potential maximum gamma dose rate (nSv/h);Simulated gamma dose rate (nSv/h);Min simulated 3x3 cells around (nSv/h);Max simulated 3x3 cells around (nSv/h);date_sim;ddd_sim_3x3;Date (j/m/a hh:mm);Precipitations (mm/h);Pressure (Pa);Temperature (K);Kz (m2/s);Meridional wind (m/s);Zonal wind (m/s);Cloud Base (m);Cloud Top (m)
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 00:00:00;3.5483334859212334;True;' ' ' ' ' ' ' ' ' ' ' ';81.50499979654948;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;3.5483334859212334;;0.7603442777736474;;;2025-06-01 00:00:00;;2025-06-01 00:00:00;0.0;101195.1484375;295.077880859375;18.756811141967773;-0.6061550974845886;2.257986545562744;875.0;1125.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 01:00:00;5.298333485921233;True;' ' ' ' ' ' ' ' ' ' ' ';83.25499979654948;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;5.298333485921233;;0.7379453493584764;;;2025-06-01 01:00:00;;2025-06-01 01:00:00;0.0;101177.6015625;293.1046447753906;0.4488213062286377;-0.6887914538383484;1.375641107559204;875.0;1125.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 02:00:00;5.821666717529297;True;' ' ' ' ' ' ' ' ' ' ' ';83.77833302815755;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;5.821666717529297;;0.8992632810275736;;;2025-06-01 02:00:00;;2025-06-01 02:00:00;0.0;101178.3125;292.6764221191406;3.6615309715270996;0.024665599688887596;2.0926523208618164;875.0;1125.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 03:00:00;6.428334554036468;True;' ' ' ' ' ' ' ' ' ' ' ';84.38500086466472;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;6.428334554036468;;1.2041859696887425;;;2025-06-01 03:00:00;;2025-06-01 03:00:00;0.0;101179.8984375;292.3065185546875;18.836299896240234;0.18090130388736725;1.9154423475265503;875.0;1125.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 04:00:00;5.135000864664718;True;' ' ' ' ' ' ' ' ' ' ' ';83.09166717529297;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;5.135000864664718;;1.4926920051568093;;;2025-06-01 04:00:00;;2025-06-01 04:00:00;0.0;101169.984375;292.03369140625;23.911279678344727;-0.7189886569976807;1.6819791793823242;750.0;1000.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 05:00:00;4.906667073567718;True;' ' ' ' ' ' ' ' ' ' ' ';82.86333338419597;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;4.906667073567718;;1.338585590027891;;;2025-06-01 05:00:00;;2025-06-01 05:00:00;0.0;101184.6328125;291.7227478027344;4.719570159912109;-0.7435046434402466;1.3102378845214844;750.0;1250.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 06:00:00;5.468334197998047;True;' ' ' ' ' ' ' ' ' ' ' ';83.4250005086263;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;5.468334197998047;;1.0927618185330168;;;2025-06-01 06:00:00;;2025-06-01 06:00:00;0.0;101195.3203125;291.69390869140625;3.693828582763672;-0.9019239544868469;1.2797845602035522;875.0;1375.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 07:00:00;5.7649993896484375;True;' ' ' ' ' ' ' ' ' ' ' ';83.72166570027669;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;5.7649993896484375;;0.9206822804141979;;;2025-06-01 07:00:00;;2025-06-01 07:00:00;0.0;101209.0;291.44866943359375;28.42496109008789;-0.2868691682815552;1.0723599195480347;875.0;1125.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 08:00:00;4.886667887369796;True;' ' ' ' ' ' ' ' ' ' ' ';82.84333419799805;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;4.886667887369796;;0.7768563624419716;;;2025-06-01 08:00:00;;2025-06-01 08:00:00;0.0;101218.859375;292.14971923828125;34.07370376586914;-0.6645378470420837;1.704341173171997;875.0;1125.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 09:00:00;5.555000305175781;True;' ' ' ' ' ' ' ' ' ' ' ';83.51166661580403;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;5.555000305175781;;0.769916698754522;;;2025-06-01 09:00:00;;2025-06-01 09:00:00;0.0;101199.4921875;292.9952392578125;49.27682113647461;-0.4880748689174652;1.2550373077392578;500.0;5000.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 10:00:00;3.3916664123535156;True;' ' ' ' ' ' ' ' ' ' ' ';81.34833272298177;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;3.3916664123535156;;0.7647485184177072;;;2025-06-01 10:00:00;;2025-06-01 10:00:00;0.0;101202.46875;293.8890075683594;61.875301361083984;0.4908888638019562;1.9474555253982544;500.0;5000.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 11:00:00;4.648335774739593;True;' ' ' ' ' ' ' ' ' ' ' ';82.60500208536784;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;4.648335774739593;;0.7909471905556686;;;2025-06-01 11:00:00;;2025-06-01 11:00:00;0.0;101167.7890625;294.8691101074219;70.67302703857422;0.10237842798233032;2.766831874847412;500.0;5000.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 12:00:00;2.3650004069010464;True;' ' ' ' ' ' ' ' ' ' ' ';80.3216667175293;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;2.3650004069010464;;0.7243507063690174;;;2025-06-01 12:00:00;;2025-06-01 12:00:00;0.0;101126.140625;295.6470642089844;75.30914306640625;-0.05123205482959747;3.8089637756347656;500.0;5000.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 13:00:00;2.5616671244303433;True;' ' ' ' ' ' ' ' ' ' ' ';80.5183334350586;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;2.5616671244303433;;0.4358389137874147;;;2025-06-01 13:00:00;;2025-06-01 13:00:00;0.0;101133.46875;295.249267578125;71.8941650390625;-0.0799521803855896;4.054016590118408;500.0;5000.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 14:00:00;2.613332112630218;True;' ' ' ' ' ' ' ' ' ' ' ';80.56999842325847;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;2.613332112630218;;0.21083091327443737;;;2025-06-01 14:00:00;;2025-06-01 14:00:00;0.0;101094.7265625;295.2074279785156;74.43852233886719;0.3322698175907135;4.44823694229126;500.0;5000.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 15:00:00;2.498332977294922;True;' ' ' ' ' ' ' ' ' ' ' ';80.45499928792317;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;2.498332977294922;;0.19658525295899315;;;2025-06-01 15:00:00;;2025-06-01 15:00:00;0.0;101100.953125;295.00579833984375;60.897151947021484;-0.15848875045776367;4.075368404388428;500.0;5000.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 16:00:00;1.813332875569671;True;' ' ' ' ' ' ' ' ' ' ' ';79.76999918619792;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;1.813332875569671;;0.2842232796774341;;;2025-06-01 16:00:00;;2025-06-01 16:00:00;0.0;101103.625;295.2175598144531;60.82521057128906;-0.8408946990966797;3.855499029159546;1375.0;1500.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 17:00:00;2.683333079020187;True;' ' ' ' ' ' ' ' ' ' ' ';80.63999938964844;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;2.683333079020187;;0.3578344651838927;;;2025-06-01 17:00:00;;2025-06-01 17:00:00;0.0;101109.7421875;295.06121826171875;50.235538482666016;-1.3304595947265625;3.3554821014404297;500.0;5000.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 18:00:00;1.608332316080734;True;' ' ' ' ' ' ' ' ' ' ' ';79.56499862670898;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;1.608332316080734;;0.37182373879059843;;;2025-06-01 18:00:00;;2025-06-01 18:00:00;0.0;101104.7109375;294.8541564941406;37.828060150146484;-1.1758711338043213;2.5033817291259766;500.0;5000.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 19:00:00;2.8349990844726562;True;' ' ' ' ' ' ' ' ' ' ' ';80.7916653951009;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;2.8349990844726562;;0.36678382499179957;;;2025-06-01 19:00:00;;2025-06-01 19:00:00;0.0;101050.84375;294.6553039550781;33.4197998046875;-1.0008182525634766;2.123521566390991;1250.0;1750.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 20:00:00;1.7700017293294366;True;' ' ' ' ' ' ' ' ' ' ' ';79.72666803995769;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;1.7700017293294366;;0.3248521324985751;;;2025-06-01 20:00:00;;2025-06-01 20:00:00;0.0;101084.1484375;294.2224426269531;40.91393280029297;-1.5977773666381836;4.203053951263428;1000.0;1750.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 21:00:00;2.6166674296061245;True;' ' ' ' ' ' ' ' ' ' ' ';80.57333374023438;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;2.6166674296061245;;0.20924321845507132;;;2025-06-01 21:00:00;;2025-06-01 21:00:00;0.0;101159.953125;293.4333801269531;20.785011291503906;-1.2384147644042969;4.576050758361816;875.0;1500.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 22:00:00;2.5300000508626397;True;' ' ' ' ' ' ' ' ' ' ' ';80.48666636149089;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;2.5300000508626397;;0.19029505754367473;;;2025-06-01 22:00:00;;2025-06-01 22:00:00;0.0;101198.703125;292.548583984375;21.7822208404541;-0.637255847454071;5.332812309265137;500.0;5000.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-01 23:00:00;0.0;True;' ' ' ' ' ' ' ' ' ' ' ';77.95666631062825;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;0.0;;0.21717669166938097;;;2025-06-01 23:00:00;;2025-06-01 23:00:00;0.0;101222.7265625;291.9256286621094;12.207783699035645;-0.7076468467712402;5.400712490081787;1000.0;2000.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-02 00:00:00;2.0116678873697964;True;' ' ' ' ' ' ' ' ' ' ' ';79.96833419799805;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;2.0116678873697964;;0.30590932619065786;;;2025-06-02 00:00:00;;2025-06-02 00:00:00;0.0;101223.140625;290.8798828125;25.770071029663086;-3.3088016510009766;2.6667351722717285;625.0;1500.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-02 01:00:00;2.096665700276702;True;' ' ' ' ' ' ' ' ' ' ' ';80.05333201090495;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;2.096665700276702;;0.33129819688396817;;;2025-06-02 01:00:00;;2025-06-02 01:00:00;0.0;101261.09375;289.83233642578125;32.582584381103516;-3.4607152938842773;1.8399193286895752;625.0;1750.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-02 02:00:00;0.946669260660812;True;' ' ' ' ' ' ' ' ' ' ' ';78.90333557128906;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;0.946669260660812;;0.2857257399430102;;;2025-06-02 02:00:00;;2025-06-02 02:00:00;0.0;101278.8359375;289.8112487792969;33.83967590332031;-2.5033135414123535;1.8381767272949219;750.0;1750.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-02 03:00:00;0.7466672261556084;True;' ' ' ' ' ' ' ' ' ' ' ';78.70333353678386;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;0.7466672261556084;;0.26508790280065087;;;2025-06-02 03:00:00;;2025-06-02 03:00:00;0.0;101281.25;289.7850646972656;28.266115188598633;-3.1057519912719727;1.9714765548706055;1000.0;1250.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-02 04:00:00;0.7800000508626397;True;' ' ' ' ' ' ' ' ' ' ' ';78.73666636149089;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;0.7800000508626397;;0.255799702708788;;;2025-06-02 04:00:00;;2025-06-02 04:00:00;0.0;101284.625;289.4692077636719;32.86320114135742;-3.5072379112243652;1.5019495487213135;1000.0;1375.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-02 05:00:00;2.3716659545898438;True;' ' ' ' ' ' ' ' ' ' ' ';80.3283322652181;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;2.3716659545898438;;0.23297357695361426;;;2025-06-02 05:00:00;;2025-06-02 05:00:00;0.0;101291.90625;289.1473693847656;28.752288818359375;-3.275278329849243;1.421136736869812;1125.0;1375.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-02 06:00:00;2.770000457763672;True;' ' ' ' ' ' ' ' ' ' ' ';80.72666676839192;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;2.770000457763672;;0.24287007951637185;;;2025-06-02 06:00:00;;2025-06-02 06:00:00;0.0;101344.3515625;289.1289367675781;29.6617431640625;-2.6977617740631104;1.4785211086273193;500.0;5000.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-02 07:00:00;2.763333638509124;True;' ' ' ' ' ' ' ' ' ' ' ';80.71999994913737;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;2.763333638509124;;0.2737127175302459;;;2025-06-02 07:00:00;;2025-06-02 07:00:00;0.0;101409.1484375;288.7806701660156;31.513187408447266;-2.558304786682129;1.1867619752883911;500.0;5000.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-02 08:00:00;1.1833343505859375;True;' ' ' ' ' ' ' ' ' ' ' ';79.14000066121419;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;1.1833343505859375;;0.3229294273394273;;;2025-06-02 08:00:00;;2025-06-02 08:00:00;0.0;101435.671875;289.2988586425781;59.73297119140625;-2.047531843185425;1.2599506378173828;500.0;5000.0
LONGUE-JUMELLES_49_AGG_CP;47.375789642333984;-0.11739200353622437;2025-06-02 09:00:00;2.196666717529297;True;' ' ' ' ' ' ' ' ' ' ' ';80.15333302815755;109;124;0.0;6.07995844943;35; beton asphalte;False;Sur un mat;True;2.196666717529297;;0.3255069553741857;;;2025-06-02 09:00:00;;2025-06-02 09:00:00;0.0;101437.5234375;290.0968322753906;67.87117004394531;-1.5146839618682861;1.7912960052490234;500.0;5000.0
