name;latitude;longitude;date;obsvalue;validity;codevalidation;obs_withbackground;x_simu;y_simu;sea_coverage;terrain_std;altitude;nature;obstacle;position;metropole;Observed gamma dose rate (nSv/h);Potential maximum gamma dose rate (nSv/h);Simulated gamma dose rate (nSv/h);Min simulated 3x3 cells around (nSv/h);Max simulated 3x3 cells around (nSv/h);date_sim;ddd_sim_3x3;Date (j/m/a hh:mm);Precipitations (mm/h);Pressure (Pa);Temperature (K);Kz (m2/s);Meridional wind (m/s);Zonal wind (m/s);Cloud Base (m);Cloud Top (m)
METZERVISSE_57_AGG_CP;49.31264877319336;6.281500816345215;2025-06-01 00:00:00;5.649998982747391;True;' ' ' ' ' ' ' ' ' ' ' ';91.11833318074544;173;143;0.0;27.49792267803;199;brique asphalte et herbe;True;Mur Toit en obstacle;True;5.649998982747391;;12.82559527332472;;;2025-06-01 00:00:00;;2025-06-01 00:00:00;0.9965408444404602;98766.8515625;293.5281677246094;2.4079573154449463;-1.5065548419952393;2.631021499633789;1500.0;8800.0
METZERVISSE_57_AGG_CP;49.31264877319336;6.281500816345215;2025-06-01 01:00:00;4.426666259765625;True;' ' ' ' ' ' ' ' ' ' ' ';89.89500045776367;173;143;0.0;27.49792267803;199;brique asphalte et herbe;True;Mur Toit en obstacle;True;4.426666259765625;;17.341673409776437;;;2025-06-01 01:00:00;;2025-06-01 01:00:00;0.0;98718.3125;292.2606506347656;2.973036289215088;1.5671817064285278;-0.3785112500190735;2750.0;8800.0
METZERVISSE_57_AGG_CP;49.31264877319336;6.281500816345215;2025-06-01 02:00:00;4.10333251953125;True;' ' ' ' ' ' ' ' ' ' ' ';89.5716667175293;173;143;0.0;27.49792267803;199;brique asphalte et herbe;True;Mur Toit en obstacle;True;4.10333251953125;;8.075530869011693;;;2025-06-01 02:00:00;;2025-06-01 02:00:00;18.445920944213867;98689.8203125;291.198486328125;1.2413629293441772;2.698082685470581;-0.8783046007156372;2750.0;7143.78
METZERVISSE_57_AGG_CP;49.31264877319336;6.281500816345215;2025-06-01 03:00:00;8.631665547688797;True;' ' ' ' ' ' ' ' ' ' ' ';94.09999974568684;173;143;0.0;27.49792267803;199;brique asphalte et herbe;True;Mur Toit en obstacle;True;8.631665547688797;;12.56842989058593;;;2025-06-01 03:00:00;;2025-06-01 03:00:00;0.0;98700.34375;291.3259582519531;0.9094043374061584;3.2362351417541504;-0.3045576214790344;2500.0;4083.436
METZERVISSE_57_AGG_CP;49.31264877319336;6.281500816345215;2025-06-01 04:00:00;4.9933319091796875;True;' ' ' ' ' ' ' ' ' ' ' ';90.46166610717773;173;143;0.0;27.49792267803;199;brique asphalte et herbe;True;Mur Toit en obstacle;True;4.9933319091796875;;5.4358408399513;;;2025-06-01 04:00:00;;2025-06-01 04:00:00;0.0;98691.625;291.3089599609375;1.6170140504837036;2.562830686569214;0.2601041793823242;500.0;5000.0
METZERVISSE_57_AGG_CP;49.31264877319336;6.281500816345215;2025-06-01 05:00:00;2.93499755859375;True;' ' ' ' ' ' ' ' ' ' ' ';88.4033317565918;173;143;0.0;27.49792267803;199;brique asphalte et herbe;True;Mur Toit en obstacle;True;2.93499755859375;;2.324262267025534;;;2025-06-01 05:00:00;;2025-06-01 05:00:00;0.0;98709.65625;290.9455871582031;4.5080366134643555;2.8047680854797363;1.4821128845214844;2500.0;2750.0
METZERVISSE_57_AGG_CP;49.31264877319336;6.281500816345215;2025-06-01 06:00:00;5.421666463216141;True;' ' ' ' ' ' ' ' ' ' ' ';90.89000066121419;173;143;0.0;27.49792267803;199;brique asphalte et herbe;True;Mur Toit en obstacle;True;5.421666463216141;;1.3842181307427426;;;2025-06-01 06:00:00;;2025-06-01 06:00:00;0.0;98731.328125;291.013916015625;2.402035713195801;0.9410462975502014;2.047194242477417;2289.6125;8092.9697
METZERVISSE_57_AGG_CP;49.31264877319336;6.281500816345215;2025-06-01 07:00:00;3.973332722981766;True;' ' ' ' ' ' ' ' ' ' ' ';89.44166692097981;173;143;0.0;27.49792267803;199;brique asphalte et herbe;True;Mur Toit en obstacle;True;3.973332722981766;;1.1588814868672415;;;2025-06-01 07:00:00;;2025-06-01 07:00:00;0.0;98705.9453125;290.9228820800781;6.753609657287598;-0.7786074876785278;0.5011972784996033;1500.0;2000.0
METZERVISSE_57_AGG_CP;49.31264877319336;6.281500816345215;2025-06-01 08:00:00;5.319997151692704;True;' ' ' ' ' ' ' ' ' ' ' ';90.78833134969075;173;143;0.0;27.49792267803;199;brique asphalte et herbe;True;Mur Toit en obstacle;True;5.319997151692704;;1.083515796616169;;;2025-06-01 08:00:00;;2025-06-01 08:00:00;0.0;98692.0;291.0583190917969;1.9040454626083374;0.14548085629940033;0.918304979801178;2500.0;8800.0
METZERVISSE_57_AGG_CP;49.31264877319336;6.281500816345215;2025-06-01 09:00:00;9.406665802001953;True;' ' ' ' ' ' ' ' ' ' ' ';94.875;173;143;0.0;27.49792267803;199;brique asphalte et herbe;True;Mur Toit en obstacle;True;9.406665802001953;;6.147095332753594;;;2025-06-01 09:00:00;;2025-06-01 09:00:00;0.0;98714.75;291.30718994140625;31.153104782104492;0.8690617680549622;2.173006057739258;500.0;1751.3579
